event_attendence,event_date,fighter1,fighter2,pass_stat_f1,pass_stat_f2,round,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,time,weight_class,win_method_finish,win_method_type,f1_record,f1_dob,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_record,f2_dob,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,winner
10021,November 18 2017,Jessica-Rose Clark,Bec Rawlings,3,2,3,101,65,1,1,2,2,5,Women's Flyweight,,S-DEC,Record: 9-5-0 (1 NC),Nov 28 1987,5' 5,64,4.13,4.6,Orthodox,50,61,0.7,66,1.33,57,125,Record: 7-8-0,Feb 11 1989,5' 6,64,5.66,4.48,Orthodox,42,57,0.4,40,0.71,68,125,Jessica-Rose Clark
10021,November 18 2017,Belal Muhammad,Tim Means,1,0,3,88,91,0,0,1,0,5,Welterweight,,S-DEC,Record: 15-3-0,Jul 09 1988,5' 11,72,3.95,4.39,Orthodox,41,59,0.1,33,2.11,90,170,Record: 28-11-1 (1 NC),Feb 20 1984,6' 2,75,3.31,4.82,Orthodox,45,62,0.2,52,0.88,63,170,Belal Muhammad
10021,November 18 2017,Jake Matthews,Bojan Velickovic,4,3,3,20,24,0,1,4,1,5,Welterweight,,S-DEC,Record: 14-4-0,Aug 19 1994,5' 11,73,2.16,2.96,Orthodox,46,58,0.9,40,2.26,66,170,Record: 15-6-1,Dec 18 1988,6' 0,76,2.31,2.18,Southpaw,34,57,0.5,25,0.67,55,170,Jake Matthews
10021,November 18 2017,Elias Theodorou,Daniel Kelly,0,1,3,118,42,0,1,0,2,5,Middleweight,,U-DEC,Record: 17-2-0,May 31 1988,6' 1,75,2.24,4.17,Orthodox,42,54,0,28,1.4,60,185,Record: 13-4-0,Oct 31 1977,6' 0,70,4.64,3.62,Southpaw,38,61,0.3,34,1.86,78,185,Elias Theodorou
10021,November 18 2017,Alexander Volkanovski,Shane Young,9,1,3,68,18,0,0,5,1,5,Catch Weight,,U-DEC,Record: 19-1-0,Sep 29 1988,5' 6,71,2.61,6.06,Orthodox,60,61,0.6,41,3.37,71,145,Record: 13-4-0,Jul 31 1993,5' 8,72,5.09,6.1,Orthodox,40,57,0,25,0.76,64,145,Alexander Volkanovski
10021,November 18 2017,Ryan Benoit,Ashkan Mokhtarian,0,0,3,45,42,0,0,0,0,2.38,Flyweight,Kick,KO/TKO,Record: 10-5-0,Aug 25 1989,5' 5,68,3.2,2.38,Orthodox,36,59,0.2,20,0.24,62,125,Record: 13-3-0,Sep 15 1985,5' 6,67,3.66,1.95,Southpaw,43,43,0,16,0.54,33,125,Ryan Benoit
10021,November 18 2017,Nik Lentz,Will Brooks,1,0,2,34,49,1,1,0,2,2.05,Lightweight,Guillotine Choke,SUB,Record: 32-9-2 (1 NC),Aug 13 1984,5' 8,68,3.03,3.49,Orthodox,50,50,1.3,34,3.58,44,155,Record: 18-4-0,Oct 08 1986,5' 10,72,2.54,4.26,Orthodox,59,56,0.3,51,2.08,82,155,Nik Lentz
10021,November 18 2017,Tai Tuivasa,Rashad Coulter,0,1,1,22,10,0,0,0,0,4.35,Heavyweight,Flying Knee,KO/TKO,Record: 10-1-0,Mar 16 1993,6' 2,75,3.06,4.42,Southpaw,52,59,0,0,0,100,264,Record: 9-4-0,Nov 27 1981,5' 11,76,6.68,4.82,Orthodox,56,50,0,0,0,62,205,Tai Tuivasa
10021,November 18 2017,Frank Camacho,Damien Brown,1,1,3,154,104,0,1,1,2,5,Lightweight,,S-DEC,Record: 21-7-0,May 18 1989,5' 10,73,7.82,6.23,Orthodox,45,52,0,45,1.46,80,170,Record: 17-12-0,Dec 25 1984,5' 10,68,4.86,3.66,Orthodox,38,50,0.7,27,0.68,53,155,Frank Camacho
10021,November 18 2017,Nadia Kassem,Alex Chambers,1,4,3,52,45,6,0,0,4,5,Women's Strawweight,,U-DEC,Record: 5-1-0,Nov 15 1995,5' 5,66,2.92,2.52,Southpaw,50,37,4,0,0,40,125,Record: 5-5-0,Oct 25 1978,5' 3,63,5.1,2.97,,54,50,1,41,2.31,53,115,Nadia Kassem
10021,November 18 2017,Eric Shelton,Jenel Lausa,4,0,3,86,5,0,2,5,1,5,Flyweight,,U-DEC,Record: 12-6-0,Feb 02 1991,5' 6,68,1.88,2.57,Orthodox,42,63,0.2,51,2.83,46,125,Record: 7-5-0,Aug 01 1988,5' 5,68,3.53,1.44,Orthodox,42,53,0.8,66,0.55,51,125,Eric Shelton
10021,November 18 2017,Adam Wieczorek,Anthony Hamilton,1,5,3,42,32,0,0,0,2,5,Heavyweight,,U-DEC,Record: 10-2-0,Feb 05 1992,6' 5,81,1.87,1.68,Orthodox,38,48,0.4,33,0.41,58,250,Record: 15-9-0,Apr 14 1980,6' 5,76,3.02,3.91,Orthodox,65,45,0,42,2.62,78,260,Adam Wieczorek
15128,November 25 2017,Kelvin Gastelum,Michael Bisping,0,0,1,14,7,0,0,0,0,2.3,Middleweight,Punch,KO/TKO,Record: 16-4-0 (1 NC),Oct 24 1991,5' 9,71,3.06,3.83,Southpaw,43,60,0.2,37,0.79,62,185,Record: 31-9-0,Feb 28 1979,6' 1,75,2.71,4.33,Orthodox,38,65,0.3,43,1.05,63,185,Kelvin Gastelum
15128,November 25 2017,Li Jingliang,Zak Ottow,0,0,1,26,5,0,0,0,0,2.57,Welterweight,Punches,KO/TKO,Record: 16-5-0,Mar 20 1988,6' 0,71,3.53,5.01,Orthodox,42,60,0,33,1.14,62,170,Record: 17-7-0,Dec 22 1986,5' 11,72,2.73,2.63,Orthodox,36,58,0.4,29,0.97,57,170,Li Jingliang
15128,November 25 2017,Wang Guan,Alex Caceres,1,0,3,71,49,0,0,0,0,5,Featherweight,,S-DEC,Record: 20-1-1,Mar 14 1986,5' 9,71,3.27,4.73,Orthodox,43,60,0,0,0,0,145,Record: 14-12-0 (1 NC),Jun 20 1988,5' 10,73,2.76,3.84,Southpaw,49,64,0.8,75,0.56,59,145,Wang Guan
