event_attendence,event_date,fighter1,fighter2,pass_stat_f1,pass_stat_f2,round,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,time,weight_class,win_method_finish,win_method_type,f1_record,f1_dob,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_record,f2_dob,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,winner
12395,September 20 2014,Myles Jury,Takanori Gomi,0,0,1,10,1,0,0,0,0,1.32,Lightweight,Punch,KO/TKO,Record: 17-4-0,Oct 31 1988,5' 10,73,2.16,2.94,Orthodox,42,66,0.3,55,2.16,50,145,Record: 35-14-0 (1 NC),Sep 22 1978,5' 7,70,3.52,3.81,Southpaw,41,60,0.8,65,1.23,63,155,Myles Jury
12395,September 20 2014,Yoshihiro Akiyama,Amir Sadollah,3,0,3,57,42,0,0,2,0,5,Welterweight,,U-DEC,Record: 14-6-0 (2 NC),Jul 29 1975,5' 10,73,3.62,3.1,Orthodox,41,57,1,67,2.29,92,170,Record: 7-5-0,Aug 27 1980,5' 10,74,3.55,4.71,Orthodox,46,60,0.3,27,0.57,60,170,Yoshihiro Akiyama
12395,September 20 2014,Miesha Tate,Rin Nakai,0,2,3,55,16,0,0,1,3,5,Women's Bantamweight,,U-DEC,Record: 18-7-0,Aug 18 1986,5' 6,65,2.71,1.93,Orthodox,41,50,1.6,31,2.06,52,135,Record: 16-2-1,Oct 22 1986,5' 1,60,3.9,1.57,Orthodox,33,60,0.5,18,3,75,135,Miesha Tate
12395,September 20 2014,Kiichi Kunimoto,Richard Walsh,1,0,3,36,59,0,0,1,0,5,Welterweight,,S-DEC,Record: 18-7-2 (1 NC),May 01 1981,5' 10,71,3.92,1.87,Orthodox,44,41,0.3,20,1.59,28,170,Record: 9-6-0,Dec 01 1988,6' 0,73,2.72,3.84,,46,58,0.2,40,1.55,66,170,Kiichi Kunimoto
12395,September 20 2014,Kyoji Horiguchi,Jon Delos Reyes,1,0,1,31,13,0,0,0,0,3.48,Flyweight,Punches,KO/TKO,Record: 18-2-0,Oct 12 1990,5' 5,66,2.45,3.6,Orthodox,45,62,0,44,2,55,125,Record: 8-5-0,Aug 19 1987,5' 6,67,4.14,2.99,Orthodox,38,51,1.9,83,3.2,55,125,Kyoji Horiguchi
12395,September 20 2014,Masanori Kanehara,Alex Caceres,1,0,3,32,24,2,0,2,0,5,Bantamweight,,U-DEC,Record: 25-13-5,Nov 19 1982,5' 7,67,1.63,1.88,Orthodox,49,62,0.9,50,1.44,63,135,Record: 14-12-0 (1 NC),Jun 20 1988,5' 10,73,2.76,3.84,Southpaw,49,64,0.8,75,0.56,59,145,Masanori Kanehara
12395,September 20 2014,Katsunori Kikuno,Sam Sicilia,0,0,2,32,36,1,0,1,0,1.38,Featherweight,Rear Naked Choke,SUB,Record: 23-8-2,Oct 31 1981,5' 8,66,2.47,2.64,Orthodox,40,61,0.8,75,1.88,76,145,Record: 15-8-0,Feb 01 1986,5' 8,67,3.55,2.46,Orthodox,33,59,0.9,43,1.45,70,145,Katsunori Kikuno
12395,September 20 2014,Hyun Gyu Lim,Takenori Sato,0,0,1,10,1,0,0,0,0,1.18,Welterweight,Elbows,KO/TKO,Record: 13-7-1,Jan 16 1985,6' 3,77,5.07,4.45,Orthodox,41,51,0.2,100,0.23,73,170,Record: 17-10-7 (1 NC),Jun 08 1985,5' 10,71,12.92,0.46,Southpaw,33,9,0,0,0,0,170,Hyun Gyu Lim
12395,September 20 2014,Kyung Ho Kang,Michinori Tanaka,10,4,3,21,22,2,0,0,3,5,Bantamweight,,S-DEC,Record: 15-8-0 (1 NC),Sep 09 1987,5' 9,73,2.08,2.59,Orthodox,42,59,1.4,68,2.36,75,135,Record: 11-3-0,Oct 04 1990,5' 5,67,1.99,1.97,Orthodox,37,50,0.2,38,2.4,43,135,Kyung Ho Kang
12395,September 20 2014,Johnny Case,Kazuki Tokudome,0,1,2,13,12,0,0,0,1,2.34,Lightweight,Guillotine Choke,SUB,Record: 22-6-0,Jun 28 1989,5' 10,72,2.66,3.95,Orthodox,38,61,0,45,1.7,72,155,Record: 12-6-1,Mar 04 1987,5' 11,73,3.63,2.26,Southpaw,41,53,0,38,2,78,155,Johnny Case
12395,September 20 2014,Maximo Blanco,Dan Hooker,1,0,3,132,99,0,0,3,0,5,Featherweight,,U-DEC,Record: 12-8-1 (1 NC),Oct 16 1983,5' 8,71,3.19,4.11,Orthodox,44,66,0.3,36,1.85,63,145,Record: 18-8-0,Feb 13 1990,6' 0,75,5.13,4.35,Switch,43,54,0.5,37,0.47,77,155,Maximo Blanco
10544,September 27 2014,Demetrious Johnson,Chris Cariaso,4,0,2,27,6,2,0,1,0,2.29,Flyweight,Kimura,SUB,Record: 27-3-1,Aug 13 1986,5' 3,66,1.66,3.43,Orthodox,54,67,0.5,56,3.35,65,125,Record: 17-8-0,May 27 1981,5' 3,63,2.23,3.35,Southpaw,43,61,0.8,39,1.11,57,125,Demetrious Johnson
10544,September 27 2014,Donald Cerrone,Eddie Alvarez,1,0,3,88,48,0,0,0,0,5,Lightweight,,U-DEC,Record: 35-11-0 (1 NC),Mar 29 1983,6' 1,73,4.06,4.2,Orthodox,48,54,1.4,35,1.29,72,155,Record: 29-6-0 (1 NC),Jan 11 1984,5' 9,69,4.39,4.32,Orthodox,41,55,0.5,36,2.92,92,155,Donald Cerrone
10544,September 27 2014,Conor McGregor,Dustin Poirier,0,0,1,9,10,0,0,0,0,1.46,Featherweight,Punch,KO/TKO,Record: 21-4-0,Jul 14 1988,5' 9,74,4.43,5.27,Southpaw,48,55,0,62,0.75,70,155,Record: 25-5-0 (1 NC),Jan 19 1989,5' 9,72,4.08,5.75,Southpaw,49,56,1.2,37,1.63,69,155,Conor McGregor
10544,September 27 2014,Yoel Romero,Tim Kennedy,1,0,3,39,30,0,1,3,0,0.58,Middleweight,Punch,KO/TKO,Record: 13-3-0,Apr 30 1977,6' 0,73,2.77,3.28,Southpaw,50,63,0,32,1.86,78,185,Record: 18-6-0,Sep 01 1979,5' 11,74,1.84,2.78,Orthodox,47,62,0.7,35,2.58,70,185,Yoel Romero
10544,September 27 2014,Cat Zingano,Amanda Nunes,5,1,3,40,22,3,0,3,1,1.21,Women's Bantamweight,Punches,KO/TKO,Record: 10-4-0,Jul 01 1982,5' 6,68,1.63,2.57,Southpaw,61,47,0.8,65,2.77,42,145,Record: 17-4-0,May 30 1988,5' 8,69,2.88,4.65,Orthodox,51,57,0.6,40,1.8,80,145,Cat Zingano
10544,September 27 2014,Dominick Cruz,Takeya Mizugaki,1,0,1,26,2,0,0,2,0,1.01,Bantamweight,Punches,KO/TKO,Record: 22-2-0,Mar 09 1985,5' 8,68,2.15,3.53,Orthodox,31,74,0.1,50,3.17,83,135,Record: 21-11-2,Dec 16 1983,5' 7,68,3.27,3.37,Orthodox,37,57,0.1,57,1.46,70,135,Dominick Cruz
10544,September 27 2014,Jorge Masvidal,James Krause,2,0,3,69,58,0,0,2,0,5,Lightweight,,U-DEC,Record: 33-13-0,Nov 12 1984,5' 11,74,2.95,4.16,Orthodox,46,67,0.4,58,1.73,77,170,Record: 25-8-0,Jun 04 1986,6' 2,73,4.15,4.57,Orthodox,46,61,0.7,18,1.18,46,170,Jorge Masvidal
10544,September 27 2014,Stephen Thompson,Patrick Cote,0,0,3,64,53,0,0,0,0,5,Welterweight,,U-DEC,Record: 14-4-1,Feb 11 1983,6' 0,75,2.54,3.52,Orthodox,42,60,0,45,0.39,78,170,Record: 24-11-0,Feb 29 1980,5' 11,71,3.21,2.81,Orthodox,48,48,0.2,20,0.68,43,170,Stephen Thompson
10544,September 27 2014,Brian Ebersole,John Howard,2,2,3,49,42,0,0,1,2,5,Welterweight,,S-DEC,Record: 51-17-1 (1 NC),Nov 27 1980,6' 0,73,2.14,2.32,Southpaw,49,56,0.1,23,1.7,61,170,Record: 23-12-0,Mar 01 1983,5' 7,71,3.08,2.15,Orthodox,50,51,0.4,49,2.7,53,170,Brian Ebersole
10544,September 27 2014,Kevin Lee,Jon Tuck,3,0,3,74,30,0,2,4,0,5,Lightweight,,U-DEC,Record: 17-4-0,Sep 04 1992,5' 9,77,3.18,4.06,Orthodox,43,52,1,43,3.1,80,155,Record: 10-5-0,Aug 28 1984,5' 11,73,3.74,3,Orthodox,40,60,1,33,0.42,50,155,Kevin Lee
10544,September 27 2014,Manvel Gamburyan,Cody Gibson,0,3,2,11,49,1,0,2,1,4.56,Bantamweight,Guillotine Choke,SUB,Record: 18-11-0 (1 NC),May 08 1981,5' 5,67,2.83,2.13,Orthodox,41,55,0.7,34,3.26,69,135,Record: 12-6-0,Sep 11 1987,5' 10,71,2.54,2.47,Orthodox,31,63,0.4,38,1.85,58,135,Manvel Gamburyan
10026,October 04 2014,Rick Story,Gunnar Nelson,0,0,5,168,53,0,0,1,1,5,Welterweight,,S-DEC,Record: 19-9-0,Aug 28 1984,5' 9,71,2.17,3.8,Southpaw,41,62,0.9,48,2.53,63,170,Record: 17-4-1,Jul 28 1988,5' 11,72,3.51,1.76,Switch,57,48,1,60,1.95,66,170,Rick Story
10026,October 04 2014,Max Holloway,Akira Corassani,0,0,1,31,11,0,0,0,0,3.11,Featherweight,Punch,KO/TKO,Record: 20-4-0,Dec 04 1991,5' 11,69,4.33,6.93,Orthodox,45,63,0.5,83,0.29,83,155,Record: 14-7-0 (1 NC),Aug 27 1982,5' 8,68,4.91,3.25,Orthodox,45,50,0,28,0.7,86,145,Max Holloway
10026,October 04 2014,Jan Blachowicz,Ilir Latifi,0,0,1,13,2,0,0,0,0,1.58,Light Heavyweight,Kick,KO/TKO,Record: 23-8-0,Feb 24 1983,6' 2,78,3.16,3.5,Orthodox,49,53,0.3,52,1.46,53,205,Record: 15-6-0 (1 NC),Jul 28 1983,5' 10,73,2.66,2.34,Orthodox,42,56,0.6,32,1.89,100,205,Jan Blachowicz
10026,October 04 2014,Mike Wilkinson,Niklas Backstrom,0,0,1,6,7,0,0,0,0,1.19,Featherweight,Punch,KO/TKO,Record: 9-2-0,Sep 15 1987,5' 7,68,3.7,2.35,,38,35,0.9,14,0.92,55,145,Record: 8-2-0 (1 NC),Aug 22 1989,6' 1,74,3.65,1.12,Orthodox,41,40,2.2,80,2.92,72,145,Mike Wilkinson
10026,October 04 2014,Magnus Cedenblad,Scott Askham,1,0,3,23,42,0,0,3,0,5,Middleweight,,U-DEC,Record: 14-5-0,Apr 10 1982,6' 5,79,3.02,2.38,Orthodox,51,40,1,64,2.87,66,185,Record: 14-4-0,May 20 1988,6' 3,75,3.52,3.03,Southpaw,46,52,0.7,18,0.44,65,185,Magnus Cedenblad
10026,October 04 2014,Nico Musoke,Alexander Yakovlev,0,0,3,70,44,0,0,0,0,5,Welterweight,,U-DEC,Record: 13-5-0 (1 NC),Apr 05 1986,6' 0,75,3.8,3.56,Orthodox,35,57,0.2,19,1.16,82,170,Record: 23-8-1,Jul 18 1984,6' 3,74,2.73,1.89,Southpaw,46,56,0,30,1.23,72,155,Nico Musoke
10026,October 04 2014,Dennis Siver,Charles Rosa,15,1,3,33,22,1,1,3,2,5,Featherweight,,U-DEC,Record: 23-11-0 (1 NC),Jan 13 1979,5' 6,70,2.67,3.87,Orthodox,32,65,0.3,32,0.87,65,145,Record: 11-3-0,Aug 24 1986,5' 9,69,4,3.85,Switch,36,51,1.1,34,2.93,50,145,Dennis Siver
10026,October 04 2014,Cathal Pendred,Gasan Umalatov,1,0,3,55,38,0,0,1,0,5,Welterweight,,S-DEC,Record: 17-5-1,Sep 02 1987,6' 1,75,3.01,2.49,Orthodox,44,55,0.4,23,2.46,83,170,Record: 15-5-1,Sep 11 1982,5' 11,71,4.1,2.23,Orthodox,39,59,0,17,0.75,90,170,Cathal Pendred
10026,October 04 2014,Krzysztof Jotko,Tor Troeng,0,0,3,74,15,0,0,1,0,5,Middleweight,,U-DEC,Record: 19-4-0,Aug 19 1989,6' 1,77,1.89,2.86,Southpaw,44,59,0.1,37,1.12,87,185,Record: 16-7-1,Jan 25 1983,6' 2,77,3.26,1.16,Orthodox,46,32,0.3,7,0.62,66,185,Krzysztof Jotko
10026,October 04 2014,Mairbek Taisumov,Marcin Bandel,0,0,1,9,3,0,0,0,0,1.01,Lightweight,Punch,KO/TKO,Record: 27-5-0,Aug 08 1988,5' 9,73,2.02,2.88,Orthodox,41,63,0,77,1.66,87,155,Record: 13-4-0,Oct 10 1989,5' 10,70,5.26,0.79,Orthodox,50,23,0,0,0,0,155,Mairbek Taisumov
10026,October 04 2014,Zubaira Tukhugov,Ernest Chavez,0,0,1,40,12,0,0,0,0,4.21,Featherweight,Punches,KO/TKO,Record: 18-4-0,Jan 15 1991,5' 8,68,2.09,2.53,Orthodox,35,69,0,46,2.13,100,145,Record: 8-2-0,Jun 27 1983,5' 8,70,3.89,2.79,Orthodox,40,59,0,33,0.89,50,145,Zubaira Tukhugov
10782,October 04 2014,Rory MacDonald,Tarec Saffiedine,0,0,3,47,42,0,0,1,0,1.28,Welterweight,Punch,KO/TKO,Record: 18-4-0,Jul 22 1989,6' 0,76,2.8,3.75,Orthodox,42,62,0.4,47,1.77,88,170,Record: 16-7-0,Sep 06 1986,5' 10,70,3.06,4.05,Switch,47,62,0.1,36,0.52,84,170,Rory MacDonald
10782,October 04 2014,Raphael Assuncao,Bryan Caraway,0,0,3,75,39,0,0,2,2,5,Bantamweight,,U-DEC,Record: 27-6-0,Jul 19 1982,5' 5,66,2.24,3.34,Orthodox,40,70,0.3,36,1.38,79,135,Record: 21-10-0,Aug 04 1984,5' 8,68,3.61,2.53,Orthodox,34,54,0.8,25,2.57,80,135,Raphael Assuncao
10782,October 04 2014,Chad Laprise,Yosdenis Cedeno,5,0,3,35,17,0,0,4,0,5,Lightweight,,U-DEC,Record: 14-4-0,Jul 23 1986,5' 10,71,3.59,4.78,Orthodox,42,65,0,54,1.05,78,170,Record: 10-5-1,Feb 12 1985,5' 8,69,1.6,1.64,Orthodox,29,67,0.3,0,0,31,155,Chad Laprise
10782,October 04 2014,Elias Theodorou,Bruno Santos,2,2,3,43,16,0,0,3,4,5,Middleweight,,U-DEC,Record: 17-2-0,May 31 1988,6' 1,75,2.24,4.17,Orthodox,42,54,0,28,1.4,60,185,Record: 14-2-0,Jul 17 1987,5' 9,69,2.27,1.18,Orthodox,46,56,0.3,37,3,66,185,Elias Theodorou
10782,October 04 2014,Nordine Taleb,Li Jingliang,0,0,3,66,43,0,0,2,2,5,Welterweight,,S-DEC,Record: 14-6-0,Jun 10 1981,6' 1,74,2.52,3.42,Orthodox,54,67,0,76,2.3,71,170,Record: 16-5-0,Mar 20 1988,6' 0,71,3.53,5.01,Orthodox,42,60,0,33,1.14,62,170,Nordine Taleb
10782,October 04 2014,Mitch Gagnon,Roman Salazar,1,0,1,5,3,1,0,1,0,2.06,Bantamweight,Rear Naked Choke,SUB,Record: 12-4-0,Oct 10 1984,5' 5,65,2.13,3.18,Southpaw,48,63,1.9,26,1.43,67,135,Record: 9-4-0 (1 NC),Feb 21 1988,5' 7,67,2.89,1.95,Orthodox,39,57,0,18,1.77,50,135,Mitch Gagnon
10782,October 04 2014,Daron Cruickshank,Anthony Njokuani,1,0,3,42,40,0,0,6,0,5,Lightweight,,U-DEC,Record: 16-8-0 (1 NC),Jun 11 1985,5' 8,72,2.98,2.88,Switch,38,57,0.2,41,2.04,60,155,Record: 16-9-0 (1 NC),Mar 01 1980,6' 1,75,2.41,3.94,Orthodox,46,65,0.2,45,0.5,53,155,Daron Cruickshank
10782,October 04 2014,Olivier Aubin-Mercier,Jake Lindsey,4,1,2,31,24,1,0,2,1,3.22,Lightweight,Other - Choke,SUB,Record: 12-4-0,Feb 23 1989,5' 9,70,2.95,2.59,Southpaw,51,55,0.6,35,2.63,65,155,Record: 9-3-0,Jun 21 1986,5' 11,71,4.01,3.44,Switch,52,46,0,33,0.65,50,155,Olivier Aubin-Mercier
10782,October 04 2014,Paul Felder,Jason Saggo,1,7,3,51,29,0,0,1,6,5,Lightweight,,S-DEC,Record: 16-4-0,Apr 25 1984,5' 11,70,3.08,3.53,Orthodox,43,50,0.3,33,0.32,59,155,Record: 12-4-0,Nov 23 1985,5' 11,71,2.94,2.5,Orthodox,39,52,0,40,2.33,23,155,Paul Felder
10782,October 04 2014,Chris Kelades,Paddy Holohan,5,4,3,50,26,1,0,2,3,5,Flyweight,,U-DEC,Record: 9-3-0,Feb 21 1981,5' 7,68,2.64,2.4,Orthodox,43,48,0.3,18,1.04,53,125,Record: 12-2-1,May 03 1988,5' 10,69,2.81,2.13,Orthodox,46,46,1.3,47,2.88,71,125,Chris Kelades
10782,October 04 2014,Albert Tumenov,Matt Dwyer,0,0,1,4,0,0,0,0,0,1.03,Welterweight,Kick,KO/TKO,Record: 17-4-0,Dec 26 1991,5' 11,73,3.34,3.76,Orthodox,42,58,0,20,0.2,75,170,Record: 8-4-0,Dec 17 1989,6' 4,76,3.24,2.57,Orthodox,34,54,0,10,0.44,60,170,Albert Tumenov
10782,October 04 2014,Pedro Munhoz,Jerrod Sanders,0,0,1,2,1,1,0,0,0,0.39,Bantamweight,Guillotine Choke,Overturned,Record: 18-3-0 (1 NC),Sep 07 1986,5' 6,64,5.35,5.03,Orthodox,43,58,1.2,21,1.06,76,135,Record: 15-3-0 (1 NC),Oct 01 1979,5' 8,72,1.14,0.88,Orthodox,64,46,1.6,33,2.2,50,135,Pedro Munhoz
11415,October 25 2014,Jose Aldo,Chad Mendes,2,0,5,102,77,0,0,0,1,5,Featherweight,,U-DEC,Record: 28-4-0,Sep 09 1986,5' 7,70,2.97,3.53,Orthodox,44,66,0.2,68,0.71,92,145,Record: 18-5-0,May 01 1985,5' 6,66,2.35,2.78,Orthodox,49,67,0.3,55,4.13,100,145,Jose Aldo
11415,October 25 2014,Phil Davis,Glover Teixeira,4,0,3,49,9,0,0,9,0,5,Light Heavyweight,,U-DEC,Record: 13-3-0 (1 NC),Sep 25 1984,6' 2,79,1.33,2.85,Orthodox,34,72,0.6,38,2.99,72,205,Record: 28-7-0,Oct 28 1979,6' 2,76,3.65,3.46,Orthodox,43,55,0.9,46,2.21,60,205,Phil Davis
11415,October 25 2014,Fabio Maldonado,Hans Stringer,0,1,2,28,33,0,0,0,3,4.06,Light Heavyweight,Punches,KO/TKO,Record: 22-9-0,Mar 17 1980,6' 1,75,4.31,5.29,Orthodox,58,53,0.6,57,0.44,61,205,Record: 22-7-3,Jul 06 1987,6' 3,73,2.84,3.16,Orthodox,61,41,0,36,2.4,62,205,Fabio Maldonado
11415,October 25 2014,Darren Elkins,Lucas Martins,0,0,3,47,26,0,1,1,0,5,Featherweight,,S-DEC,Record: 25-7-0,May 16 1984,5' 10,71,2.83,3.36,Orthodox,37,53,1.3,35,2.68,57,145,Record: 16-3-0,Nov 11 1988,6' 0,72,4.14,2.87,Southpaw,35,60,0.5,0,0,76,145,Darren Elkins
11415,October 25 2014,Beneil Dariush,Diego Ferreira,2,0,3,32,21,0,0,3,0,5,Lightweight,,U-DEC,Record: 16-4-1,May 06 1989,5' 10,72,2.68,3.91,Southpaw,48,60,0.8,31,1.59,80,155,Record: 15-2-0,Jan 18 1985,5' 9,74,3.03,4.7,Orthodox,37,59,1.2,23,0.7,67,155,Beneil Dariush
11415,October 25 2014,Neil Magny,William Patolino,4,0,3,65,24,0,0,2,0,2.4,Welterweight,Punches,KO/TKO,Record: 21-8-0,Aug 03 1987,6' 3,80,2.22,3.86,Orthodox,46,56,0.3,46,2.62,60,170,Record: 8-3-0,Jul 01 1991,5' 11,75,3.96,4.92,Orthodox,54,65,0,45,1.85,78,170,Neil Magny
11415,October 25 2014,Yan Cabral,Naoyuki Kotani,3,1,2,11,5,1,0,2,1,3.06,Lightweight,Rear Naked Choke,SUB,Record: 12-3-0,May 13 1983,5' 11,73,1.98,2.02,Orthodox,47,62,1.2,35,2.89,37,155,Record: 33-13-7,Dec 08 1981,5' 8,66,2.89,1.02,Southpaw,31,50,0.8,16,0.83,46,155,Yan Cabral
11415,October 25 2014,Wilson Reis,Scott Jorgensen,2,0,1,13,6,1,0,1,0,3.28,Flyweight,Arm Triangle,SUB,Record: 23-10-0,Jan 06 1985,5' 4,65,3.04,1.83,Southpaw,29,55,0.6,42,5.15,47,125,Record: 15-12-0,Sep 17 1982,5' 5,66,3.41,3.37,Orthodox,40,65,0.7,45,2.61,59,135,Wilson Reis
11415,October 25 2014,Andre Fili,Felipe Arantes,4,3,3,42,29,1,1,5,3,5,Featherweight,,U-DEC,Record: 19-6-0,Jun 25 1990,5' 11,74,3.87,4.03,Orthodox,37,53,0.2,46,2.5,69,145,Record: 18-10-1 (2 NC),Feb 09 1988,5' 8,73,2.66,2.37,Orthodox,45,64,0.7,47,0.93,41,135,Andre Fili
11415,October 25 2014,Gilbert Burns,Christos Giagos,3,0,1,7,4,2,0,1,0,4.57,Lightweight,Armbar,SUB,Record: 14-3-0,Jul 20 1986,5' 10,71,3.43,3.09,Orthodox,41,57,0.7,37,2.34,38,155,Record: 16-7-0,Jan 23 1990,5' 10,71,1.85,2.13,Orthodox,32,54,0.3,40,1.93,41,155,Gilbert Burns
11415,October 25 2014,Anthony Rocco Martin,Fabricio Camoes,2,0,1,1,1,3,0,1,0,4.16,Lightweight,Kimura,SUB,Record: 16-4-0,Dec 11 1989,6' 0,73,2.72,2.82,Orthodox,38,59,1.1,25,0.82,50,170,Record: 14-9-1,Dec 23 1978,5' 10,73,1.85,1.29,Orthodox,33,61,1.5,32,2.34,20,155,Anthony Rocco Martin
9904,November 07 2014,Luke Rockhold,Michael Bisping,1,0,2,20,16,1,0,0,0,0.57,Middleweight,Guillotine Choke,SUB,Record: 16-4-0,Oct 17 1984,6' 3,77,2.32,4.29,Southpaw,48,58,1.2,40,0.71,68,185,Record: 31-9-0,Feb 28 1979,6' 1,75,2.71,4.33,Orthodox,38,65,0.3,43,1.05,63,185,Luke Rockhold
9904,November 07 2014,Al Iaquinta,Ross Pearson,0,0,2,31,20,0,0,0,0,1.39,Lightweight,Punch,KO/TKO,Record: 14-4-1,Apr 30 1987,5' 9,70,4.05,4.3,Orthodox,41,62,0.3,22,0.81,73,155,Record: 22-16-0 (1 NC),Sep 26 1984,5' 8,69,4.09,3.68,Orthodox,40,62,0,35,0.74,75,155,Al Iaquinta
9904,November 07 2014,Robert Whittaker,Clint Hester,2,0,2,49,28,0,0,1,0,2.43,Middleweight,Knee,KO/TKO,Record: 21-4-0,Dec 20 1990,6' 0,73,3.65,4.82,Orthodox,40,61,0,57,0.37,84,185,Record: 11-6-0,Nov 21 1986,6' 2,77,3.44,3.36,Orthodox,42,56,0,35,1.02,60,205,Robert Whittaker
9904,November 07 2014,Soa Palelei,Walt Harris,2,0,2,24,22,0,0,1,0,4.49,Heavyweight,Punches,KO/TKO,Record: 22-5-0,Jul 12 1977,6' 4,81,2.68,2.47,Orthodox,57,48,0,47,2.2,66,265,Record: 11-7-0 (1 NC),Jun 10 1983,6' 5,77,2.69,2.75,Southpaw,36,61,0.2,33,0.36,76,250,Soa Palelei
9904,November 07 2014,Jake Matthews,Vagner Rocha,0,0,2,26,14,1,0,1,0,1.52,Lightweight,Rear Naked Choke,SUB,Record: 14-4-0,Aug 19 1994,5' 11,73,2.16,2.96,Orthodox,46,58,0.9,40,2.26,66,170,Record: 11-4-0,Jun 06 1982,5' 10,73,4.5,2.64,Orthodox,42,48,1.9,33,1.4,50,155,Jake Matthews
9904,November 07 2014,Anthony Perosh,Guto Inocente,5,0,1,11,1,1,0,1,0,3.46,Light Heavyweight,Rear Naked Choke,SUB,Record: 15-10-0,Oct 05 1972,6' 3,75,3.77,2.27,Orthodox,43,53,1.1,22,2.03,33,205,Record: 6-4-0,May 29 1986,6' 3,77,2.92,4.13,Orthodox,66,54,0.7,33,0.67,66,205,Anthony Perosh
9904,November 07 2014,Sam Alvey,Dylan Andrews,1,2,1,6,4,0,0,0,2,2.16,Middleweight,Punches,KO/TKO,Record: 33-12-0 (1 NC),May 06 1986,6' 2,75,3.28,3.17,Southpaw,45,55,0.1,20,0.1,84,205,Record: 18-8-0 (1 NC),Nov 15 1979,6' 1,73,2.72,2.21,Switch,50,46,0.4,50,2.83,57,185,Sam Alvey
9904,November 07 2014,Louis Smolka,Richie Vaculik,2,2,3,67,74,0,1,1,2,0.18,Flyweight,Kick,KO/TKO,Record: 15-6-0,Jul 16 1991,5' 9,68,3.37,3.92,Orthodox,45,52,2.2,34,1.71,30,135,Record: 10-5-0,Jun 19 1983,5' 6,69,4.09,3.69,Orthodox,46,57,1,45,3,31,125,Louis Smolka
9904,November 07 2014,Chris Clements,Vik Grujic,0,1,1,25,7,0,0,0,1,3.06,Welterweight,Knee,KO/TKO,Record: 12-6-0 (1 NC),Feb 09 1976,5' 10,70,2.37,3.2,Orthodox,49,44,0.3,0,0,32,170,Record: 7-6-0,Feb 06 1977,5' 11,73,3.39,2.24,Orthodox,48,41,0.4,33,1.18,26,170,Chris Clements
9904,November 07 2014,Daniel Kelly,Luke Zachrich,2,0,1,25,23,1,0,1,0,4.27,Middleweight,Kimura,SUB,Record: 13-4-0,Oct 31 1977,6' 0,70,4.64,3.62,Southpaw,38,61,0.3,34,1.86,78,185,Record: 14-4-0,Dec 19 1981,6' 2,74,4.46,4.56,Orthodox,32,62,0,33,0.74,80,185,Daniel Kelly
9904,November 07 2014,Marcus Brimage,Jumabieke Tuerxun,0,0,1,5,6,0,0,0,0,2.58,Bantamweight,Kick,KO/TKO,Record: 7-5-0,Apr 06 1985,5' 4,71,3.64,3.97,Southpaw,35,56,0,100,0.56,80,135,Record: 17-3-1,Apr 17 1986,5' 7,67,3.08,1.6,Orthodox,28,59,0.9,11,0.47,66,135,Marcus Brimage
5671,November 08 2014,Ovince Saint Preux,Mauricio Rua,0,0,1,9,2,0,0,0,0,0.34,Light Heavyweight,Punch,KO/TKO,Record: 23-13-0,Apr 08 1983,6' 3,80,2.8,2.62,Southpaw,47,44,0.6,40,1.33,65,205,Record: 26-11-0,Nov 25 1981,6' 1,76,2.65,3.72,Orthodox,51,55,0.8,48,2.23,46,205,Ovince Saint Preux
5671,November 08 2014,Warlley Alves,Alan Jouban,1,0,3,47,79,1,0,1,0,5,Welterweight,,U-DEC,Record: 13-3-0,Jan 04 1991,5' 11,72,4.09,2.88,Orthodox,46,49,0.9,44,1.22,80,170,Record: 16-7-0,Nov 25 1981,6' 0,73,3.34,4.85,Southpaw,50,61,0,50,0.59,62,170,Warlley Alves
5671,November 08 2014,Claudio Silva,Leon Edwards,8,1,3,34,33,1,0,3,0,5,Welterweight,,S-DEC,Record: 13-1-0,Sep 06 1982,5' 11,71,2.25,2.27,Southpaw,46,45,1.9,31,3.18,50,170,Record: 17-3-0,Aug 25 1991,6' 0,74,1.86,2.35,Southpaw,49,55,0.5,31,1.33,67,170,Claudio Silva
5671,November 08 2014,Dhiego Lima,Jorge de Oliveira,9,0,3,70,23,4,0,6,0,5,Welterweight,,U-DEC,Record: 15-7-0,Jan 31 1989,6' 2,74,2.96,2.56,Orthodox,45,50,1.4,66,2.13,50,170,Record: 7-2-0,Jan 22 1980,5' 8,71,4.84,1.26,Orthodox,31,48,0,0,0,22,155,Dhiego Lima
