event_date,event_name,fighter1,fighter2,pass_stat_f1,pass_stat_f2,round_,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,time,weight_class,win_method_finish,win_method_type,winner,f1_dob,f1_record,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_dob,f2_record,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight
January 31 2004,UFC 46: Supernatural,Vitor Belfort,Randy Couture,0,0,1,1,1,0,0,0,0,0.49,Light Heavyweight,,KO/TKO,Vitor Belfort,Apr 01 1977,Record: 26-14-0 (1 NC),6' 0",74,2.83,1.59,Southpaw,46,50,0.6,60,1.02,53,185,Jun 22 1963,Record: 19-11-0,6' 1",75,1.53,2.85,Orthodox,57,59,0.5,46,2.78,58,205
January 31 2004,UFC 46: Supernatural,Renato Verissimo,Carlos Newton,9,1,3,22,4,1,0,3,2,5,Welterweight,,U-DEC,Renato Verissimo,Aug 03 1973,Record: 7-5-0 (1 NC),6' 1",null,1.87,0.92,Orthodox,48,47,2.5,30,1.46,50,170,Aug 17 1976,Record: 16-14-0,5' 9",null,1.55,0.65,Orthodox,41,44,0.9,70,2.47,43,170
January 31 2004,UFC 46: Supernatural,BJ Penn,Matt Hughes,5,0,1,17,4,1,0,0,0,4.39,Welterweight,Rear Naked Choke,SUB,BJ Penn,Dec 13 1978,Record: 16-14-2,5' 9",70,3.2,2.76,Orthodox,48,56,0.5,55,1.19,74,155,Oct 13 1973,Record: 45-9-0,5' 9",73,1.36,2.14,Switch,53,53,1.2,50,2.95,35,170
January 31 2004,UFC 46: Supernatural,Frank Mir,Wes Sims,4,0,2,28,18,2,0,4,0,4.21,Heavyweight,Punch,KO/TKO,Frank Mir,May 24 1979,Record: 18-11-0,6' 3",79,3.84,2.18,Southpaw,47,38,2,40,2.02,54,264,Aug 04 1979,Record: 22-13-1 (2 NC),6' 10",null,2.95,0.98,Orthodox,51,37,2.3,0,0,40,260
January 31 2004,UFC 46: Supernatural,Lee Murray,Jorge Rivera,0,1,1,0,2,2,0,0,1,1.45,Middleweight,Triangle Choke,SUB,Lee Murray,Sep 12 1977,Record: 8-2-1 (1 NC),6' 3",null,3.28,0.36,Orthodox,15,32,1.8,100,0.9,42,185,Feb 28 1972,Record: 19-9-0,6' 1",73,2.64,3.16,Orthodox,48,54,0.1,50,0.84,63,185
January 31 2004,UFC 46: Supernatural,Georges St-Pierre,Karo Parisyan,0,2,3,46,1,0,4,6,0,5,Welterweight,,U-DEC,Georges St-Pierre,May 19 1981,Record: 26-2-0,5' 11",76,1.4,3.78,Orthodox,53,72,1.1,74,4.16,83,185,Aug 28 1982,Record: 19-8-0 (1 NC),5' 10",72,2.19,2.49,Orthodox,41,58,1,59,5.27,59,170
January 31 2004,UFC 46: Supernatural,Josh Thomson,Hermes Franca,0,1,3,40,22,0,1,2,2,5,Lightweight,,M-DEC,Josh Thomson,Sep 21 1978,Record: 21-8-0 (1 NC),5' 10",71,2.12,2.59,Orthodox,47,64,1.3,39,1.92,54,155,Aug 26 1974,Record: 22-12-0 (1 NC),5' 6",71,2.85,1.78,Orthodox,39,55,2.4,36,1.53,37,155
January 31 2004,UFC 46: Supernatural,Matt Serra,Jeff Curran,8,0,3,45,9,0,1,6,0,5,Lightweight,,U-DEC,Matt Serra,Jun 02 1974,Record: 11-7-0,5' 6",68,2.64,1.98,Orthodox,39,46,0.9,20,2.05,38,170,Sep 02 1977,Record: 35-15-1,5' 6",69,2.48,1.54,Orthodox,31,60,1.2,12,0.35,35,135
April 02 2004,UFC 47: It's On!,Chuck Liddell,Tito Ortiz,0,0,2,23,13,0,0,0,0,0.38,Light Heavyweight,Punches,KO/TKO,Chuck Liddell,Dec 17 1969,Record: 21-8-0,6' 2",76,2.71,2.97,Orthodox,35,56,0,75,0.44,81,205,Jan 23 1975,Record: 17-11-1,6' 3",74,2.88,2.59,Orthodox,46,60,0.6,35,2.47,54,205
April 02 2004,UFC 47: It's On!,Chris Lytle,Tiki Ghosn,2,0,2,34,27,1,0,2,0,1.55,Welterweight,Other - Choke,SUB,Chris Lytle,Aug 18 1974,Record: 31-18-5,5' 11",68,3.03,3.76,Orthodox,45,58,2.4,55,0.7,55,170,Feb 09 1977,Record: 10-7-1,5' 10",null,2.94,2.78,Orthodox,46,58,0,50,0.41,61,170
