event_attendance,event_date,event_name,fighter1,fighter2,pass_stat_f1,pass_stat_f2,round,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,time,weight_class,win_method_finish,win_method_type,winner
12041,March 03 2018,UFC 222: Cyborg vs. Kunitskaya,Jordan Johnson,Adam Milstead,0,0,3,59,58,0,0,2,0,5.0,Light Heavyweight,,S-DEC,Jordan Johnson
17026,April 07 2018,UFC 223: Khabib vs. Iaquinta,Khabib Nurmagomedov,Al Iaquinta,7,0,5,134,41,1,0,6,0,5.0,Lightweight,,U-DEC,Khabib Nurmagomedov
17026,April 07 2018,UFC 223: Khabib vs. Iaquinta,Rose Namajunas,Joanna Jedrzejczyk,0,0,5,105,145,0,0,1,0,5.0,Women's Strawweight,,U-DEC,Rose Namajunas
17026,April 07 2018,UFC 223: Khabib vs. Iaquinta,Renato Moicano,Calvin Kattar,0,0,3,116,41,0,0,0,0,5.0,Featherweight,,U-DEC,Renato Moicano
17026,April 07 2018,UFC 223: Khabib vs. Iaquinta,Zabit Magomedsharipov,Kyle Bochniak,1,0,3,97,43,0,0,5,0,5.0,Featherweight,,U-DEC,Zabit Magomedsharipov
17026,April 07 2018,UFC 223: Khabib vs. Iaquinta,Chris Gruetzemacher,Joe Lauzon,0,0,2,128,48,0,0,0,0,5.0,Lightweight,,KO/TKO,Chris Gruetzemacher
17026,April 07 2018,UFC 223: Khabib vs. Iaquinta,Karolina Kowalkiewicz,Felice Herrig,1,0,3,126,86,0,0,0,0,5.0,Women's Strawweight,,S-DEC,Karolina Kowalkiewicz
17026,April 07 2018,UFC 223: Khabib vs. Iaquinta,Olivier Aubin-Mercier,Evan Dunham,0,0,1,13,4,0,0,0,0,0.53,Lightweight,Knees,KO/TKO,Olivier Aubin-Mercier
17026,April 07 2018,UFC 223: Khabib vs. Iaquinta,Ashlee Evans-Smith,Bec Rawlings,0,0,3,116,88,0,0,1,0,5.0,Women's Flyweight,,U-DEC,Ashlee Evans-Smith
17026,April 07 2018,UFC 223: Khabib vs. Iaquinta,Devin Clark,Mike Rodriguez,2,0,3,50,40,0,0,7,0,5.0,Light Heavyweight,,U-DEC,Devin Clark
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Dustin Poirier,Justin Gaethje,0,0,4,174,115,0,0,0,0,0.33,Lightweight,Punch,KO/TKO,Dustin Poirier
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Alex Oliveira,Carlos Condit,4,2,2,9,12,1,1,3,1,3.17,Welterweight,Guillotine Choke,SUB,Alex Oliveira
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Israel Adesanya,Marvin Vettori,0,1,3,57,46,0,0,0,2,5.0,Middleweight,,S-DEC,Israel Adesanya
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Michelle Waterson,Cortney Casey,0,1,3,61,36,0,3,3,0,5.0,Women's Strawweight,,S-DEC,Michelle Waterson
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Antonio Carlos Junior,Tim Boetsch,1,0,1,31,7,1,0,1,0,4.28,Middleweight,Rear Naked Choke,SUB,Antonio Carlos Junior
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Muslim Salikhov,Ricky Rainey,0,0,2,25,19,0,0,0,0,4.12,Welterweight,Punch,KO/TKO,Muslim Salikhov
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,John Moraga,Wilson Reis,1,8,3,46,12,1,0,0,8,5.0,Flyweight,,U-DEC,John Moraga
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Brad Tavares,Krzysztof Jotko,0,0,3,46,24,0,0,0,0,2.16,Middleweight,Punch,KO/TKO,Brad Tavares
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Gilbert Burns,Dan Moret,2,0,2,31,20,0,0,2,0,0.59,Lightweight,Punch,KO/TKO,Gilbert Burns
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Lauren Mueller,Shana Dobson,1,0,3,58,68,0,0,2,1,5.0,Women's Flyweight,,U-DEC,Lauren Mueller
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Yushin Okami,Dhiego Lima,6,0,3,15,11,0,0,6,0,5.0,Welterweight,,U-DEC,Yushin Okami
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Adam Wieczorek,Arjan Bhullar,0,1,2,13,9,1,0,0,2,1.59,Heavyweight,Omoplata,SUB,Adam Wieczorek
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Alejandro Perez,Matthew Lopez,0,2,2,44,22,0,2,0,3,3.42,Bantamweight,Punches,KO/TKO,Alejandro Perez
11382,April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Luke Sanders,Patrick Williams,0,0,3,59,61,0,0,0,1,5.0,Bantamweight,,U-DEC,Luke Sanders
9541,April 21 2018,UFC Fight Night: Barboza vs. Lee,Kevin Lee,Edson Barboza,11,0,5,142,51,0,0,4,0,2.18,Lightweight,,KO/TKO,Kevin Lee
9541,April 21 2018,UFC Fight Night: Barboza vs. Lee,Frankie Edgar,Cub Swanson,0,0,3,58,48,0,0,0,0,5.0,Featherweight,,U-DEC,Frankie Edgar
9541,April 21 2018,UFC Fight Night: Barboza vs. Lee,Justin Willis,Chase Sherman,1,0,3,76,69,0,0,1,0,5.0,Heavyweight,,U-DEC,Justin Willis
9541,April 21 2018,UFC Fight Night: Barboza vs. Lee,David Branch,Thiago Santos,1,0,1,5,14,0,0,0,0,2.3,Middleweight,Punch,KO/TKO,David Branch
9541,April 21 2018,UFC Fight Night: Barboza vs. Lee,Aljamain Sterling,Brett Johns,2,1,3,89,27,0,0,3,1,5.0,Bantamweight,,U-DEC,Aljamain Sterling
9541,April 21 2018,UFC Fight Night: Barboza vs. Lee,Dan Hooker,Jim Miller,0,0,1,24,10,0,0,0,1,3.0,Lightweight,Knee,KO/TKO,Dan Hooker
9541,April 21 2018,UFC Fight Night: Barboza vs. Lee,Ryan LaFlare,Alex Garcia,1,1,3,24,11,0,0,1,5,5.0,Welterweight,,U-DEC,Ryan LaFlare
9541,April 21 2018,UFC Fight Night: Barboza vs. Lee,Ricky Simon,Merab Dvalishvili,2,0,3,34,61,1,0,2,6,5.0,Bantamweight,,KO/TKO,Ricky Simon
9541,April 21 2018,UFC Fight Night: Barboza vs. Lee,Siyar Bahadurzada,Luan Chagas,0,1,2,33,11,0,0,1,0,2.4,Welterweight,Kick,KO/TKO,Siyar Bahadurzada
9541,April 21 2018,UFC Fight Night: Barboza vs. Lee,Corey Anderson,Patrick Cummins,6,0,3,64,31,0,0,12,0,5.0,Light Heavyweight,,U-DEC,Corey Anderson
9541,April 21 2018,UFC Fight Night: Barboza vs. Lee,Anthony Rocco Martin,Keita Nakamura,1,0,3,56,24,2,0,0,2,5.0,Welterweight,,U-DEC,Anthony Rocco Martin
10696,May 12 2018,UFC 224: Nunes vs. Pennington,Amanda Nunes,Raquel Pennington,2,1,5,124,64,0,0,3,1,2.36,Women's Bantamweight,Punches,KO/TKO,Amanda Nunes
10696,May 12 2018,UFC 224: Nunes vs. Pennington,Kelvin Gastelum,Jacare Souza,0,3,3,53,64,0,1,0,1,5.0,Middleweight,,S-DEC,Kelvin Gastelum
10696,May 12 2018,UFC 224: Nunes vs. Pennington,Mackenzie Dern,Amanda Cooper,3,0,1,15,6,1,0,0,0,2.27,Women's Strawweight,Rear Naked Choke,SUB,Mackenzie Dern
10696,May 12 2018,UFC 224: Nunes vs. Pennington,John Lineker,Brian Kelleher,0,0,3,102,50,1,0,0,1,3.43,Bantamweight,Punch,KO/TKO,John Lineker
10696,May 12 2018,UFC 224: Nunes vs. Pennington,Lyoto Machida,Vitor Belfort,0,0,2,11,2,0,0,0,0,1.0,Middleweight,Kick,KO/TKO,Lyoto Machida
10696,May 12 2018,UFC 224: Nunes vs. Pennington,Cezar Ferreira,Karl Roberson,3,0,1,5,4,1,0,2,0,4.45,Middleweight,Arm Triangle,SUB,Cezar Ferreira
10696,May 12 2018,UFC 224: Nunes vs. Pennington,Aleksei Oleinik,Junior Albini,0,1,1,10,10,1,0,0,1,1.45,Heavyweight,Other - Choke,SUB,Aleksei Oleinik
10696,May 12 2018,UFC 224: Nunes vs. Pennington,Davi Ramos,Nick Hein,2,0,1,6,1,1,0,1,0,4.15,Lightweight,Rear Naked Choke,SUB,Davi Ramos
10696,May 12 2018,UFC 224: Nunes vs. Pennington,Elizeu Zaleski dos Santos,Sean Strickland,0,0,1,15,14,0,0,0,0,3.4,Welterweight,Kick,KO/TKO,Elizeu Zaleski dos Santos
10696,May 12 2018,UFC 224: Nunes vs. Pennington,Warlley Alves,Sultan Aliev,0,0,2,29,12,0,0,0,1,5.0,Welterweight,,KO/TKO,Warlley Alves
10696,May 12 2018,UFC 224: Nunes vs. Pennington,Jack Hermansson,Thales Leites,1,4,3,35,11,1,3,3,3,2.1,Middleweight,Punches,KO/TKO,Jack Hermansson
10696,May 12 2018,UFC 224: Nunes vs. Pennington,Ramazan Emeev,Alberto Mina,0,0,3,39,12,0,0,3,1,5.0,Welterweight,,U-DEC,Ramazan Emeev
10696,May 12 2018,UFC 224: Nunes vs. Pennington,Markus Perez,James Bochnovic,4,0,1,4,3,2,0,1,0,4.28,Middleweight,Rear Naked Choke,SUB,Markus Perez
