date_of_birth,fighter_name,fighter_record,height,reach,sapm,slpm,stance,strike_acc,strike_def,sub_avg,td_acc,td_avg,td_def,weight
Jul 05 1993,Luis Pena,Record: 6-1-0,"6' 3""",76,2.74,2.48,Southpaw,37,52.0,0.5,23,1.34,46,145
Aug 19 1989,Julianna Pena,Record: 9-3-0,"5' 6""",69,1.2,2.95,,52,44.0,1.2,52,2.79,22,135
--,Yan Pellerin,Record: 9-13-0,"5' 11""",,0.89,0.59,Orthodox,25,66.0,0.0,100,4.43,0,205
May 07 1979,Kurt Pellegrino,Record: 16-6-0,"5' 8""",70,1.94,2.45,Orthodox,43,63.0,0.8,54,2.9,69,155
Jul 21 1992,Filip Pejic,Record: 10-2-1,"5' 8""",70,0.88,0.0,Orthodox,0,33.0,0.0,0,0.0,0,135
Oct 26 1965,Willie Peeters,Record: 9-10-1,"5' 9""",,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,220
Sep 17 1991,Tyson Pedro,Record: 7-3-0,"6' 3""",79,2.55,2.7,Orthodox,62,48.0,1.5,25,0.74,52,205
--,Matt Pedro,Record: 3-1-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,
Jun 08 1993,Carlo Pedersoli,Record: 11-3-0,"5' 11""",75,4.12,4.17,Southpaw,37,61.0,0.0,44,2.91,0,170
Mar 22 1967,Andre Pederneiras,Record: 1-1-2,"5' 8""",,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,155
Sep 26 1984,Ross Pearson,Record: 22-16-0 (1 NC),"5' 8""",69,4.09,3.68,Orthodox,40,62.0,0.0,35,0.74,75,155
Mar 28 1978,Joe Pearson,Record: 38-17-1,"5' 10""",,3.51,0.59,Orthodox,18,33.0,4.4,0,0.0,0,145
--,Roland Payne,Record: 0-1-0,"5' 9""",,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,205
--,Sarah Payant,Record: 1-4-0,"5' 4""",,2.06,0.29,,16,30.0,0.0,0,0.0,0,115
Mar 14 1982,Estevan Payan,Record: 14-6-0 (1 NC),"5' 10""",72,3.58,4.25,Orthodox,42,57.0,0.4,100,0.36,60,145
Feb 08 1989,Pawel Pawlak,Record: 11-2-0,"6' 0""",73,2.22,1.67,Orthodox,33,53.0,0.0,37,1.0,70,170
May 13 1992,Sergei Pavlovich,Record: 12-1-0,"6' 3""",84,5.06,2.99,Southpaw,40,15.0,0.0,0,0.0,50,257
Dec 04 1975,Julio Paulino,Record: 17-4-0,"6' 0""",,1.87,0.97,Orthodox,27,48.0,0.5,0,0.0,37,170
Dec 07 1985,Justin Patterson,Record: 9-3-0,"5' 10""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,170
--,Michael Patt,Record: 12-4-0,"6' 0""",,5.53,1.65,Orthodox,28,55.0,0.0,0,0.0,0,205
Jul 19 1983,Alan Patrick,Record: 15-2-0,"5' 11""",74,2.39,1.88,Southpaw,43,45.0,0.4,40,3.92,66,155
Jun 14 1980,Claude Patrick,Record: 14-2-0,"5' 11""",75,0.89,1.8,Orthodox,55,69.0,1.7,53,2.32,84,170
--,Russell Patrick,Record: 6-4-0,"5' 9""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,145
Aug 05 1973,Jorge Patino,Record: 25-13-1 (1 NC),"5' 8""",,3.14,1.33,Orthodox,30,53.0,0.0,25,0.54,50,170
--,Onassis Parungao,Record: 2-1-0,"5' 11""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,200
Aug 26 1990,Jordan Parsons,Record: 11-2-0,"5' 9""",,2.37,3.29,,40,60.0,1.0,21,1.54,50,145
Nov 04 1983,Willie Parks,Record: 4-1-0,"5' 10""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,185
--,Tyra Parker,Record: 1-2-0,"5' 5""",,9.0,1.5,Orthodox,22,14.0,0.0,0,0.0,0,115
--,Larry Parker,Record: 13-6-1,"5' 11""",,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,205
--,Ryan Parker,Record: 0-1-0,"6' 3""",,0.0,0.0,Southpaw,0,0.0,0.0,0,0.0,0,235
Dec 22 1986,Norman Parke,Record: 22-5-1,"5' 11""",70,2.88,3.06,,35,64.0,0.0,26,1.98,77,155
Feb 27 1991,Jun Yong Park,Record: 9-3-0,"6' 0""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,170
--,Won Sik Park,Record: 9-3-1 (1 NC),"5' 11""",,2.2,2.6,Orthodox,43,47.0,0.0,0,0.0,0,154
Aug 28 1982,Karo Parisyan,Record: 19-8-0 (1 NC),"5' 10""",72,2.19,2.49,Orthodox,41,58.0,1.0,59,5.27,59,170
Jun 28 1989,Josh Parisian,Record: 7-2-0,"6' 4""",,2.64,5.27,Orthodox,44,20.0,0.0,0,0.0,0,265
--,Ido Pariente,Record: 12-5-0,"5' 8""",,2.86,0.0,Orthodox,0,45.0,0.0,0,0.0,0,155
--,Remco Pardoel,Record: 9-6-1 (2 NC),"6' 3""",,0.0,0.0,Southpaw,0,0.0,0.0,0,0.0,0,260
--,Bryan Pardoe,Record: 12-16-0,"6' 1""",,4.59,1.11,Orthodox,36,45.0,0.0,40,4.75,33,205
--,Joe Pardo,Record: 4-6-0,"6' 1""",,0.0,0.0,Southpaw,0,0.0,0.0,0,0.0,0,210
Feb 01 1988,Jared Papazian,Record: 14-9-0 (1 NC),"5' 8""",67,3.81,3.33,Southpaw,39,44.0,0.0,0,0.0,50,135
Apr 16 1990,Alexandre Pantoja,Record: 21-3-0,"5' 5""",67,3.23,4.48,Orthodox,48,59.0,1.7,50,0.72,62,125
Feb 20 1973,Eduardo Pamplona,Record: 15-3-0,"5' 11""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,170
Jan 29 1967,Stephen Palling,Record: 11-7-1,"5' 4""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,143
--,Tulio Palhares,Record: 2-14-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,180
Feb 26 1980,Rousimar Palhares,Record: 24-5-0,"5' 8""",71,2.04,1.75,Orthodox,51,59.0,4.1,45,3.93,0,170
Jul 12 1977,Soa Palelei,Record: 22-5-0,"6' 4""",81,2.68,2.47,Orthodox,57,48.0,0.0,47,2.2,66,265
May 30 1983,Bart Palaszewski,Record: 35-17-0,"5' 9""",70,3.97,2.67,Orthodox,32,57.0,0.5,31,0.65,53,145
Jul 05 1987,Ricardo Palacios,Record: 9-1-0,"5' 6""",,3.27,7.73,Orthodox,53,59.0,0.0,0,0.0,100,145
--,Jose Palacios,Record: 3-2-0,"5' 9""",,1.0,2.67,Orthodox,70,79.0,1.7,0,0.0,50,145
May 13 1979,Fredson Paixao,Record: 10-4-0 (1 NC),"5' 6""",66,2.31,1.71,Orthodox,54,62.0,2.2,11,0.62,10,145
Oct 17 1995,Raulian Paiva,Record: 18-2-0,"5' 8""",69,5.43,4.93,Orthodox,44,49.0,0.5,20,0.5,82,125
Apr 05 1991,Josh Paiva,Record: 8-2-0,"5' 6""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,125
Aug 05 1987,Dustin Pague,Record: 11-10-0,"5' 9""",74,2.96,1.65,Orthodox,53,41.0,2.6,44,1.03,55,135
Apr 07 1987,Michael Page,Record: 12-0-0,"6' 2""",,0.45,4.53,,76,77.0,0.0,100,3.4,100,170
Sep 30 1982,Damacio Page,Record: 12-8-0,"5' 6""",66,2.47,2.05,Orthodox,38,51.0,0.9,64,2.63,23,135
May 04 1980,Gary Padilla,Record: 12-6-0,"5' 11""",,2.0,2.2,,27,76.0,0.0,0,0.0,50,205
Jan 23 1978,Cyrillo Padilha,Record: 3-3-0,"5' 11""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,155
Jul 28 1984,George Pacurariu,Record: 10-5-0,"5' 7""",,2.68,4.69,,53,63.0,5.0,100,5.03,100,135
May 22 1987,Teemu Packalen,Record: 8-2-0,"6' 1""",72,3.08,2.64,Orthodox,57,47.0,1.9,27,2.83,100,155
Sep 07 1994,Larissa Pacheco,Record: 10-2-0,"5' 7""",69,4.14,1.21,Orthodox,19,55.0,0.0,0,0.0,0,135
Apr 17 1987,Nick Pace,Record: 6-3-0,"5' 7""",68,3.14,1.48,Orthodox,34,57.0,0.5,43,2.52,54,135
Feb 14 1973,Craig Oxley,Record: 0-3-0,"5' 9""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,155
--,Raquel Pa'aluhi,Record: 3-4-0,"5' 7""",,3.42,1.71,,56,46.0,0.0,0,0.0,18,135
Aug 17 1976,Valentijn Overeem,Record: 29-26-0,"6' 3""",,1.49,0.93,Orthodox,34,58.0,4.7,50,1.86,0,230
May 17 1980,Alistair Overeem,Record: 44-17-0 (1 NC),"6' 4""",80,1.94,3.55,Orthodox,61,61.0,1.0,62,1.42,73,265
Apr 11 1992,Sidney Outlaw,Record: 8-4-0,"5' 8""",74,0.8,0.13,Orthodox,33,71.0,3.0,75,3.0,0,170
Feb 27 1979,Artur Oumakhanov,Record: 9-6-0,"5' 7""",,1.67,1.2,Orthodox,33,82.0,0.0,75,3.0,33,154
Dec 22 1986,Zak Ottow,Record: 17-7-0,"5' 11""",72,2.73,2.63,Orthodox,36,58.0,0.4,29,0.97,57,170
--,Takafumi Otsuka,Record: 12-9-1,"5' 6""",,2.12,1.29,Orthodox,27,67.0,0.0,27,1.64,65,139
Jul 17 1971,Alexander Otsuka,Record: 4-13-0,"6' 1""",,1.16,0.9,Orthodox,55,51.0,0.8,43,1.51,53,205
--,Pedro Otavio,Record: 19-8-0,"6' 3""",,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,245
Feb 25 1991,Rachael Ostovich,Record: 4-5-0,"5' 3""",62,3.28,2.32,Orthodox,43,59.0,1.3,100,3.28,100,125
May 01 1981,Nissen Osterneck,Record: 9-3-0,"6' 2""",,2.9,3.15,Orthodox,58,41.0,1.3,12,0.63,42,185
Dec 30 1984,Nick Osipczak,Record: 5-3-0,"6' 2""",76,3.77,2.83,Orthodox,50,50.0,1.0,45,1.2,71,170
--,Kurt Osiander,Record: 4-1-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,185
Nov 04 1976,Kenji Osawa,Record: 18-10-2,"5' 7""",66,2.14,2.34,Orthodox,35,63.0,0.7,58,0.91,68,135
--,Jorge Ortiz,Record: 16-9-1 (1 NC),"6' 0""",,2.8,3.53,Orthodox,58,73.0,0.0,0,0.0,0,185
Dec 25 1988,Dustin Ortiz,Record: 19-8-0,"5' 5""",65,2.17,2.94,Orthodox,44,56.0,0.1,36,3.01,52,125
Feb 21 1991,Brian Ortega,Record: 14-1-0 (1 NC),"5' 8""",69,7.36,4.07,Switch,33,50.0,1.4,16,0.51,56,145
Jan 23 1975,Tito Ortiz,Record: 17-11-1,"6' 3""",74,2.88,2.59,Orthodox,46,60.0,0.6,35,2.47,54,205
--,Sam Oropeza,Record: 5-2-0,"6' 2""",,1.44,7.68,,56,70.0,0.0,33,3.6,100,170
Jul 04 1991,Charlie Ontiveros,Record: 8-5-0,"6' 2""",,4.2,0.0,,0,26.0,0.0,0,0.0,0,170
Apr 18 1994,Chibwikem Onyenegecha-Palmer,Record: 6-0-0,"6' 3""",76,3.4,5.6,Orthodox,55,52.0,0.0,0,0.0,100,185
Dec 19 1975,Michihiro Omigawa,Record: 13-13-1,"5' 6""",68,3.06,2.01,Orthodox,39,64.0,1.5,36,1.19,49,145
Aug 31 1982,Daniel Omielanczuk,Record: 19-8-1 (1 NC),"6' 0""",74,3.29,3.09,Southpaw,57,47.0,0.1,26,0.56,68,247
Sep 14 1988,Alan Omer,Record: 18-5-0,"5' 10""",71,2.21,3.49,Orthodox,55,64.0,0.0,42,1.69,66,145
Nov 22 1989,Cameron Olson,Record: 7-3-0 (1 NC),"6' 1""",75,2.2,3.13,Orthodox,47,57.0,1.0,42,3.0,100,205
--,Dennis Olson,Record: 14-11-0,"6' 0""",,5.27,1.02,,42,38.0,0.0,40,2.77,0,170
